90,Fort McMurray Airport,Fort Mcmurray,Canada,YMM,56.653301239,-111.222000122
91,Moosonee Airport,Moosonee,Canada,YMO,51.2910995483,-80.6078033447
92,Maniwaki Airport,Maniwaki,Canada,YMW,46.2728004456,-75.9906005859
93,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,45.6795005798,-74.0386962891
94,Natashquan Airport,Natashquan,Canada,YNA,50.1899986267,-61.7891998291
95,Ottawa / Gatineau Airport,Gatineau,Canada,YND,45.5217018127,-75.5635986328
96,Matagami Airport,Matagami,Canada,YNM,49.7616996765,-77.8028030396
97,Old Crow Airport,Old Crow,Canada,YOC,67.570602417,-139.8390045166
98,CFB Cold Lake,Cold Lake,Canada,YOD,54.4049987793,-110.2789993286
99,High Level Airport,High Level,Canada,YOJ,58.6213989258,-117.1650009155
100,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,45.3224983215,-75.6691970825
101,Prince Albert Glass Field,Prince Albert,Canada,YPA,53.2141990662,-105.672996521
102,Peace River Airport,Peace River,Canada,YPE,56.2268981934,-117.4469985962
103,Southport Airport,Portage-la-prairie,Canada,YPG,49.903099,-98.273817
104,Pitt Meadows Airport,Pitt Meadows,Canada,\N,49.2160987854,-122.7099990845
105,Pickle Lake Airport,Pickle Lake,Canada,YPL,51.4463996887,-90.2142028809
106,Port Menier Airport,Port Menier,Canada,YPN,49.8363990784,-64.2885971069
107,Peterborough Airport,Peterborough,Canada,YPQ,44.2299995422,-78.3632965088
108,Prince Rupert Airport,Prince Pupert,Canada,YPR,54.2860984802,-130.445007324
109,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,58.76720047,-111.1169967651
110,Muskoka Airport,Muskoka,Canada,YQA,44.9747009277,-79.3032989502
111,Quebec Jean Lesage International Airport,Quebec,Canada,YQB,46.7911,-71.393303
112,Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,52.1822013855,-113.8939971924
113,Windsor Airport,Windsor,Canada,YQG,42.2756004333,-82.9555969238
114,Watson Lake Airport,Watson Lake,Canada,YQH,60.1164016724,-128.8220062256
115,Kenora Airport,Kenora,Canada,YQK,49.7882995605,-94.3630981445
116,Lethbridge County Airport,Lethbridge,Canada,YQL,49.6302986145,-112.800003052
117,Greater Moncton International Airport,Moncton,Canada,YQM,46.1122016907,-64.6785964966
119,Comox Airport,Comox,Canada,YQQ,49.7108001709,-124.8870010376
120,Regina International Airport,Regina,Canada,YQR,50.4319000244,-104.6660003662
121,Thunder Bay Airport,Thunder Bay,Canada,YQT,48.3718986511,-89.3238983154
122,Grande Prairie Airport,Grande Prairie,Canada,YQU,55.1796989441,-118.885002136
123,Yorkton Municipal Airport,Yorkton,Canada,YQV,51.2647018433,-102.4619979858
124,North Battleford Airport,North Battleford,Canada,YQW,52.7691993713,-108.2440032959
125,Gander International Airport,Gander,Canada,YQX,48.9369010925,-54.5680999756
126,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,46.1613998413,-60.0477981567
127,Quesnel Airport,Quesnel,Canada,YQZ,53.0261001587,-122.5100021362
128,Resolute Bay Airport,Resolute,Canada,YRB,74.7169036865,-94.9693984985
129,Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,47.7644004822,-69.5847015381
130,Roberval Airport,Roberval,Canada,YRJ,48.5200004578,-72.2656021118
131,Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,52.4296989441,-114.903999329
132,Rankin Inlet Airport,Rankin Inlet,Canada,YRT,62.8114013672,-92.1157989502
133,Sudbury Airport,Sudbury,Canada,YSB,46.625,-80.7988967896
134,Sherbrooke Airport,Sherbrooke,Canada,YSC,45.4385986328,-71.6913986206
135,Saint John Airport,St. John,Canada,YSJ,45.3161010742,-65.890296936
136,Fort Smith Airport,Fort Smith,Canada,YSM,60.0203018188,-111.9619979858
137,Nanisivik Airport,Nanisivik,Canada,YSR,72.982201,-84.613602
138,Summerside Airport,Summerside,Canada,YSU,46.4406013489,-63.8335990906
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,71.9938964844,-125.242996216
140,Cape Dorset Airport,Cape Dorset,Canada,YTE,64.2300033569,-76.5267028809
141,Thompson Airport,Thompson,Canada,YTH,55.8011016846,-97.8641967773
142,CFB Trenton,Trenton,Canada,YTR,44.1189002991,-77.5280990601
143,Timmins/Victor M. Power,Timmins,Canada,YTS,48.5696983337,-81.376701355
